"filename", "language", "JSON", "HTML", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 3, 15, 82
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 7, 1, 20
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 9, 1, 23
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\brush.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\pomodoro.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\sand_watch.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\time.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\timer.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\icons\voice.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\json\images.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\json\voice.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\language\en.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\assets\language\tr.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
